course_id,course_title,category,instructor_id, price 
1,Data Analysis Fundamentals,Graphic Design,1,579.00
2,Data Analysis Fundamentals,Product Management,2,548.00
3,Machine Learning Essentials,Product Management,3,583.00
4,Python for Data Science,Graphic Design,4,457.00
5,Python for Data Science,Finance,5,785.00
6,Web Development Basics,Marketing,6,583.00
7,Machine Learning Essentials,Software Development,7,647.00
8,Python for Data Science,Graphic Design,8,738.00
9,Data Analysis Fundamentals,Product Management,9,863.00
10,Machine Learning Essentials,Software Development,10,337.00
11,Machine Learning Essentials,Marketing,11,913.00
12,Digital Marketing Strategies,Finance,12,742.00
13,Digital Marketing Strategies,Software Development,13,784.00
14,Data Analysis Fundamentals,Software Development,14,767.00
15,Digital Marketing Strategies,Product Management,15,754.00
16,Python for Data Science,Marketing,16,292.00
17,Machine Learning Essentials,Finance,17,541.00
18,Web Development Basics,Graphic Design,18,435.00
19,Digital Marketing Strategies,Graphic Design,19,331.00
20,Python for Data Science,Software Development,20,846.00
21,Web Development Basics,Product Management,21,691.00
22,Python for Data Science,Software Development,22,742.00
23,Digital Marketing Strategies,Software Development,23,508.00
24,Digital Marketing Strategies,Product Management,24,432.00
25,Web Development Basics,Marketing,25,726.00
26,Machine Learning Essentials,Software Development,26,895.00
27,Python for Data Science,Graphic Design,27,672.00
28,Python for Data Science,Software Development,28,663.00
29,Machine Learning Essentials,Product Management,29,954.00
30,Web Development Basics,Graphic Design,30,390.00
31,Web Development Basics,Product Management,31,866.00
32,Digital Marketing Strategies,Product Management,32,401.00
33,Web Development Basics,Marketing,33,532.00
34,Digital Marketing Strategies,Finance,34,845.00
35,Machine Learning Essentials,Finance,35,275.00
36,Web Development Basics,Finance,36,566.00
37,Python for Data Science,Software Development,37,822.00
38,Machine Learning Essentials,Finance,38,405.00
39,Machine Learning Essentials,Finance,39,506.00
40,Data Analysis Fundamentals,Marketing,40,769.00
41,Web Development Basics,Finance,41,680.00
42,Data Analysis Fundamentals,Software Development,42,923.00
43,Python for Data Science,Product Management,43,541.00
44,Digital Marketing Strategies,Product Management,44,439.00
